сапогоу|sapogu
съвръшѫ|sъvŕ̥šǫ
дѣло|dělo
его|jego
не|ne
вꙑ|vy
ли|li
г҃лете|golgoĺete
ѣко|ako
еште|ješče
четꙑре|četyre
мѣсѧци|měsęki
сѫтъ|sǫtъ
ꙇ|i
жѧтва|žętva
придетъ|prijьdetъ
се|se
г҃л҄ѭ|golgoĺǫ
вамъ|vamъ
вьзведѣте|vъzveděte
очи|oči
ваши|vaši
ꙇ|i
видите|vidite
н҄ивꙑ|ńivy
ѣко|ako
плавꙑ|polvy
сѫтъ|sǫtъ
къ|kъ
жѧтвѣ|žętvě
юже|juže
ꙇ|i
жьн҄ѧі|žьńęjь
мьздѫ|mьzdǫ
приемл҄етъ|prijemĺetъ
ꙇ|i
събираетъ|sъbirajetъ
плодъ|plodъ
животънꙑ|životьnъjь
да|da
сѣѩи|sějęjь
въ коупѣ|vъkupě
радоуетъ|radujetъ
сѧ|sę
ꙇ|i
жьн҄ѧі|žьńęjь
о|o
семь|semь
бо|bo
слово|slovo
естъ|jestъ
ꙇстинъное|jьstinьnoje
ѣко|ako
ꙇнъ|jьnъ
естъ|jestъ
сѣѩи|sějęjь
ꙇ|i
инъ|jьnъ
естъ|jestъ
жьн҄ѧі|žьńęjь
азъ|azъ
же|že
посълахъ|posъlaxъ
вꙑ|vy
жѧтъ|žętъ
ꙇдеже|jьdeže
вꙑ|vy
не|ne
троудисте|trudiste
сѧ|sę
ꙇни|jьni
троудишѧ|trudišę
сѧ|sę
ꙇ|i
вꙑ|vy
въ|vъ
троудъ|trudъ
ꙇхъ|jixъ
вьнидете|vъnidete
отъ|otъ
града|gorda
же|že
того|togo
мънози|mъnogi
вѣровашѧ|věrovašę
вь|vъ
н҄его|ńego
отъ|otъ
самарѣнъ|samarěnъ
за|za
слово|slovo
женѣ|ženě
съвѣдѣтел҄ьствоуѭшти|sъvěděteĺьstvujǫћi
ѣко|ako
рече|reče
ми|mъně
вьсѣ|vьxa
елико|corrupted morphology tag
сътворихъ|sъtvorixъ
егда|jegъda
же|že
придѫ|prijьdǫ
къ|kъ
н҄емоу|ńemu
самарѣне|samarěne
мол҄ѣахѫ|modĺǢaxǫ
і|i
да|da
би|bi
прѣбꙑлъ|perbylъ
оу|u
н҄ихъ|ńixъ
ꙇ|i
прѣбꙑстъ|perbystъ
тоу|tu
дъва|dъva
дьни|dьni
ꙇ|i
мъного|mъnogo
паче|pače
вѣровашѧ|věrovašę
за|za
слово|slovo
его|jego
женѣ|ženě
г҃лаахѫ|golgolaaxǫ
ѣко|ako
юже|juže
не|ne
за|za
твоѭ|tvojǫ
бесѣдѫ|besědǫ
вѣроуемъ|věrujemъ
сами|sami
бо|bo
слꙑшахомъ|slyšǢxomъ
ꙇ|i
вѣмъ|věmъ
ѣко|ako
сь|sь
естъ|jestъ
въ|vъ
ꙇстинѫ|jьstinǫ
с҃пъ|sъpasъ
мира|mira
х҃ъ|xristosъ
По|po
дъвою|dъvoju
же|že
дъноу|dьnu
ꙇзиде|jьzide
отътѫдоу|otъtǫdu
ꙇ|i
иде|jьde
въ|vъ
галилеѭ|galilejǫ
самъ|samъ
бо|bo
ꙇ҃с|jisusъ
съвѣдѣтел҄ьствова|sъvěděteĺьstvova
ѣко|ako
пророкъ|prorokъ
въ|vъ
своемь|svojemь
отьчьстви|
не|ne
ꙇматъ|jьmatъ
чисти|čisti
Егда|jegъda
же|že
приде|prijьde
въ|vъ
галилеѭ|galilejǫ
приѩшѧ|prijęšę
і|i
галилѣане|galilejǢne
вьсѣ|vьxa
видѣвъше|viděvъše
елико|corrupted morphology tag
сътвори|sъtvori
въ|vъ
е҃рмѣхъ|
въ|vъ
праздьникъ|porzdьnikъ
приде|prijьde
же|že
пакꙑ|paky
въ|vъ
кана|kana
галилеѭ|galilejǫ
ꙇдеже|jьdeže
сътвори|sъtvori
отъ|otъ
водꙑ|vody
вино|vino
Бѣ|bě
же|že
етеръ|jeterъ
ц҃рь|kěsaŕь
мѫжь|mǫžь
